Country_code_A3,Name,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022,Y_2023,Y_2024
CN,China,41234.45077,42854.22276,43474.55874,44060.26566,44827.02876,46642.9961,49753.57938,50010.69221,50224.38004,50496.82771,50663.80705,49245.70468,49765.10236,50592.07622,50456.11162,50632.05821,51268.16187,50899.3681,51437.11832,51294.2745
ABW,Aruba,2.902831763,1.902108174,1.928475898,1.795641538,1.662936543,1.290068091,1.512328736,0.812114611,0.711142092,0.732122177,0.730526499,0.739652045,0.743319654,0.748818878,0.755529938,0.762670464,0.776666859,0.791498753,0.801706448,0.807087994
AUS,Australia,5021.554255,5014.979887,4950.467369,4853.982529,4857.414489,4750.68971,4959.361407,5043.404519,5058.483958,5038.044312,5035.312414,4643.487607,4953.775519,4967.786091,4942.836524,4633.321742,4637.233927,4716.711934,5047.768816,5060.616579
